3.05	0	493
3.05	1	513
3.05	2	1185
3.05	3	145
3.05	4	82
3.05	5	369
3.05	6	149
3.05	7	229
3.05	8	232
3.05	9	428
3.05	10	468
3.05	11	1285
3.05	12	167
3.05	13	418
3.05	14	193
3.05	15	430
3.05	16	77
3.05	17	46
3.05	18	108
3.05	19	73
3.05	20	54
3.05	21	61
3.05	22	131
3.05	23	21
3.05	24	51
3.05	25	53
3.05	26	136
3.05	27	74
3.05	28	111
3.05	29	20
3.05	30	4
3.05	31	64
3.05	32	52
3.05	33	101
3.05	34	87
3.05	35	0
3.05	36	79
3.05	37	139
3.05	38	54
3.05	39	38
3.05	40	70
3.05	41	89
3.05	42	16
3.05	43	43
3.05	44	15
3.05	45	75
3.05	46	128
3.05	47	70
3.05	48	71
3.05	49	20
3.05	50	142
3.05	51	96
3.05	52	69
3.05	53	122
3.05	54	66
3.05	55	49
3.05	56	96
3.05	57	70
3.05	58	61
3.05	59	18
3.05	60	70
3.05	61	14
3.05	62	7
3.05	63	16
3.05	64	52
3.05	65	80
3.05	66	38
3.05	67	36
3.05	68	108
3.05	69	8
3.05	70	26
3.05	71	63
3.05	72	114
3.05	73	85
3.05	74	39
3.05	75	79
3.05	76	11
3.05	77	108
3.05	78	30
3.05	79	55
3.05	80	6
3.05	81	85
3.05	82	3
3.05	83	108
3.05	84	80
3.05	85	42
3.05	86	81
3.05	87	144
3.05	88	107
3.05	89	100
3.05	90	98
3.05	91	27
3.05	92	28
3.05	93	42
3.05	94	131
3.05	95	63
3.05	96	155
3.05	97	127
3.05	98	46
3.05	99	50
3.05	100	100
3.05	101	19
3.05	102	7
3.05	103	25
3.05	104	122
3.05	105	46
3.05	106	69
3.05	107	22
3.05	108	30
3.05	109	32
3.05	110	42
3.05	111	86
3.05	112	115
3.05	113	34
3.05	114	43
3.05	115	30
