Node: 0 Time: 0s Ipv4ListRouting table
  Priority: 0 Protocol: ns3::Ipv4StaticRouting
Destination     Gateway         Genmask         Flags Metric Ref    Use Iface
10.0.73.1       10.0.0.2        255.255.255.255 UH    -      -      -   1
10.0.73.1       10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.74.1       10.0.0.2        255.255.255.255 UH    -      -      -   1
10.0.74.1       10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.75.1       10.0.0.2        255.255.255.255 UH    -      -      -   1
10.0.75.1       10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.26.2       10.0.0.2        255.255.255.255 UH    -      -      -   1
10.0.27.2       10.0.0.2        255.255.255.255 UH    -      -      -   1
10.0.28.2       10.0.0.2        255.255.255.255 UH    -      -      -   1
10.0.29.2       10.0.0.2        255.255.255.255 UH    -      -      -   1
10.0.30.2       10.0.0.2        255.255.255.255 UH    -      -      -   1
10.0.31.2       10.0.0.2        255.255.255.255 UH    -      -      -   1
10.0.32.2       10.0.0.2        255.255.255.255 UH    -      -      -   1
10.0.33.2       10.0.0.2        255.255.255.255 UH    -      -      -   1
10.0.34.2       10.0.0.2        255.255.255.255 UH    -      -      -   1
10.0.35.2       10.0.0.2        255.255.255.255 UH    -      -      -   1
10.0.4.2        10.0.1.2        255.255.255.255 UH    -      -      -   2
10.0.4.2        10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.6.1        10.0.1.2        255.255.255.255 UH    -      -      -   2
10.0.6.1        10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.8.2        10.0.1.2        255.255.255.255 UH    -      -      -   2
10.0.8.2        10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.56.1       10.0.1.2        255.255.255.255 UH    -      -      -   2
10.0.56.1       10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.57.1       10.0.1.2        255.255.255.255 UH    -      -      -   2
10.0.57.1       10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.58.1       10.0.1.2        255.255.255.255 UH    -      -      -   2
10.0.58.1       10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.59.1       10.0.1.2        255.255.255.255 UH    -      -      -   2
10.0.59.1       10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.60.1       10.0.1.2        255.255.255.255 UH    -      -      -   2
10.0.60.1       10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.61.1       10.0.1.2        255.255.255.255 UH    -      -      -   2
10.0.61.1       10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.62.1       10.0.1.2        255.255.255.255 UH    -      -      -   2
10.0.62.1       10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.63.1       10.0.1.2        255.255.255.255 UH    -      -      -   2
10.0.63.1       10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.64.1       10.0.1.2        255.255.255.255 UH    -      -      -   2
10.0.64.1       10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.65.1       10.0.1.2        255.255.255.255 UH    -      -      -   2
10.0.65.1       10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.36.2       10.0.1.2        255.255.255.255 UH    -      -      -   2
10.0.37.2       10.0.1.2        255.255.255.255 UH    -      -      -   2
10.0.38.2       10.0.1.2        255.255.255.255 UH    -      -      -   2
10.0.39.2       10.0.1.2        255.255.255.255 UH    -      -      -   2
10.0.40.2       10.0.1.2        255.255.255.255 UH    -      -      -   2
10.0.41.2       10.0.1.2        255.255.255.255 UH    -      -      -   2
10.0.42.2       10.0.1.2        255.255.255.255 UH    -      -      -   2
10.0.43.2       10.0.1.2        255.255.255.255 UH    -      -      -   2
10.0.44.2       10.0.1.2        255.255.255.255 UH    -      -      -   2
10.0.45.2       10.0.1.2        255.255.255.255 UH    -      -      -   2
10.0.9.2        10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.10.2       10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.13.1       10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.76.1       10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.77.1       10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.78.1       10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.79.1       10.0.2.2        255.255.255.255 UH    -      -      -   3
